Last Name,First Name,Organization,Email,Telephone,Tags
a,CaPITAL,,CaPITAL.a@sl.on.ca,,slc
A,Ava,,ava.a@student.sl.on.ca,,student
A,Arjun,,Arjun.A@student.sl.on.ca,,student
A,Anagha,,anagha@sl.on.ca,,slc
B,Benjamin,,benjamin.b@sl.on.ca,,slc
B,Bonny,,bonny@sl.on.ca,,slc
C,CAPITAL,,CAPITAL@SL.ON.CA,,slc
d,Y,,y@student.sl.on.ca,,student
D,Dave,,dave.d@student.sl.on.ca,,student
E,Emily,,emily.e@student.sl.on.ca,,student
E,Ethan,,ethan.e@student.sl.on.ca,,student
E,Emma,,emma.e@student.sl.on.ca,,student
Fred,Skedda,Your test user,215384@skedda.test,,
Ganesan,Krishnadas,,gkrishnadas10@gmail.com,,Owner
I,Isabella,,isabella.i@sl.on.ca,,slc
J,Jacob,,jacob.j@sl.on.ca,,slc
K,Kriran,,kiran.k@student.sl.on.ca,,student
K,Kavya,,kavya.k@student.sl.on.ca,,student
L,Liam,,liam.l@student.sl.on.ca,,student
L,Lucas,,lucas.l@sl.on.ca,,slc
L,Liya,,liya.l@sl.on.ca,,slc
M,Mia,,mia.m@sl.on.ca,,slc
N,Noah,,noah.n@student.sl.on.ca,,student
o,Z,,z@sl.on.ca,,slc
o,o,,o@sl.on.ca,,slc
O,Olivia,,olivia.o@student.sl.on.ca,,student
R,Rohith,,rohith.r@sl.on.ca,,slc
s,X,,x@sl.on.ca,,slc
s,Sneha,,sneha@sl.on.ca,,slc
S,Sophia,,sophia.s@sl.on.ca,,slc
S,Sanju,,sanju.s@sl.on.ca,,slc
u,u,,u@sl.on.ca,,slc
V,Varun,,varun@student.sl.on.ca,,student
W,William,,william.w@sl.on.ca,,slc
